GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
software,org.example,DisplayC.new Comparator() {...},26,29,2,0,6,6,1,2,0,2
software,org.example,Event,16,49,0,0,3,20,2,10,2,10
software,org.example,ServiceProvider,392,145,15,1,90,39,24,15,16,15
software,org.example,Vendor,24,44,0,0,5,20,5,8,5,8
software,org.example,VendorsByUser,12,134,1,7,5,36,1,8,0,5
software,org.example,User,86,121,8,12,26,34,8,8,1,5
software,org.example,DisplayB,12,123,1,3,5,33,1,6,0,5
software,org.example,Venue,68,0,0,0,25,0,13,0,13,0
software,org.example,CheckEvent,46,272,14,25,13,66,11,18,0,9
software,org.example,DisplayC,31,148,0,4,13,38,6,7,6,5
